"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"13","13","~1 ~ Biotic ~ 1 ~ Biotic",-4.96635606086281,4.8369420144394,-4.53755870762483,2.84684766960528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29549045466328,0.609139828370773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186637838661001,0.280900999076694,-1.72271275514472,0.240058061289946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135642097677355,0.519449632273507,0,737.271353517286,125.543501139781,6,60,263.087002279562,0,0.0841155428480144,NA,0.0841155428480144
"2","2","~1 ~ 1 ~ Tmin ~ Tmin",NA,NA,-1.06652649837339,0.92816765107181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17949178135987,1.34012378351693,NA,NA,NA,NA,0.780203276108352,0.931516380912493,NA,NA,NA,NA,NA,NA,-1.90598767570625,0.393326251361563,NA,NA,NA,NA,-0.482357556439428,0.260745581685744,NA,NA,NA,NA,NA,NA,0.393684583945291,0.648075795744901,0,112.387211376553,125.732132492554,6,60,263.464264985108,0.377262705546002,0.0696553849048508,NA,0.153770927752865
"29","29","~1 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,-1.06652649837339,0.92816765107181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17949178135987,1.34012378351693,NA,NA,NA,NA,0.780203276108352,0.931516380912493,NA,NA,NA,NA,NA,NA,-1.90598767570625,0.393326251361563,NA,NA,NA,NA,-0.482357556439428,0.260745581685744,NA,NA,NA,NA,NA,NA,0.393684583945291,0.648075795744901,0,112.387211376553,125.732132492554,6,60,263.464264985108,0.377262705546002,0.0696553849048508,NA,0.223426312657716
"16","16","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",-2.52065394905103,3.77848231735379,-3.526098207415,5.13003589028021,NA,NA,-1.34354041574875,4.0719403311099,NA,NA,NA,NA,NA,NA,-0.928528129867504,0.986174788103299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190730100183397,0.312997306573265,-1.52554645780971,0.292632777515607,NA,NA,0.647172522309999,0.370840337490038,NA,NA,NA,NA,NA,NA,NA,NA,0.527146506861957,0.708136338557417,0,1472.08370505172,124.013603833634,8,60,264.027207667268,0.940205387705646,0.0525670064922156,NA,0.275993319149932
"42","42","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",-2.52065394905103,3.77848231735379,-3.526098207415,5.13003589028021,NA,NA,-1.34354041574875,4.0719403311099,NA,NA,NA,NA,NA,NA,-0.928528129867504,0.986174788103299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190730100183397,0.312997306573265,-1.52554645780971,0.292632777515607,NA,NA,0.647172522309999,0.370840337490038,NA,NA,NA,NA,NA,NA,NA,NA,0.527146506861957,0.708136338557417,0,1472.08370505172,124.013603833634,8,60,264.027207667268,0.940205387705646,0.0525670064922156,NA,0.328560325642147
"5","5","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,-1.84600660811102,0.90529928179094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312282570607433,0.73686769243732,NA,NA,0.163097885816325,0.881043690913328,NA,NA,NA,NA,NA,NA,NA,NA,-1.49142206976029,0.295474962451931,NA,NA,0.74493107355207,0.356014430492144,NA,NA,NA,NA,NA,NA,NA,NA,1.01800438798084,0.991006706460953,0,34.4943571986054,126.188739496099,6,60,264.377478992197,1.29047671263504,0.0441217565884319,NA,0.372682082230579
"32","32","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-1.84600660811102,0.90529928179094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312282570607433,0.73686769243732,NA,NA,0.163097885816325,0.881043690913328,NA,NA,NA,NA,NA,NA,NA,NA,-1.49142206976029,0.295474962451931,NA,NA,0.74493107355207,0.356014430492144,NA,NA,NA,NA,NA,NA,NA,NA,1.01800438798084,0.991006706460953,0,34.4943571986054,126.188739496099,6,60,264.377478992197,1.29047671263504,0.0441217565884319,NA,0.416803838819011
"4","4","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-1.79148767927407,0.96412406824451,NA,NA,-0.0592332930211429,0.961153856252695,NA,NA,NA,NA,NA,NA,-0.272959953609784,0.820570243177598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48836865200585,0.303701685405377,NA,NA,0.736233848146874,0.353642917679716,NA,NA,NA,NA,NA,NA,NA,NA,1.01051058255741,0.997823721920969,0,47.0021976981201,126.203853133936,6,60,264.407706267871,1.32070398830922,0.0434599302384302,NA,0.460263769057441
"31","31","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-1.79148767927407,0.96412406824451,NA,NA,-0.0592332930211429,0.961153856252695,NA,NA,NA,NA,NA,NA,-0.272959953609784,0.820570243177598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48836865200585,0.303701685405377,NA,NA,0.736233848146874,0.353642917679716,NA,NA,NA,NA,NA,NA,NA,NA,1.01051058255741,0.997823721920969,0,47.0021976981201,126.203853133936,6,60,264.407706267871,1.32070398830922,0.0434599302384302,NA,0.503723699295871
"1","1","~1 ~ 1 ~ 1 ~ 1",NA,NA,-1.56579148877423,1.21556213845518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23677104709288,1.39263892281191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61814444186033,0.348379881139705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.430733070839065,0.672764165513506,0,75.0385820425298,128.349982425037,4,60,264.699964850074,1.61296257051146,0.0375513781225092,NA,0.541275077418381
"14","14","~Elevation ~ Biotic ~ 1 ~ Biotic",-4.97607769142056,4.78392538580087,-4.5542412345594,2.84680145502579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29682106250341,0.609065325680126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179556777832028,0.284648192982822,-1.72036563860599,0.240285223015369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081406048991351,0.519625146640003,0.112161413073345,0.535556662151687,0,725.4610665092,125.531592670142,7,60,265.063185340284,1.97618306072229,0.0313150819656416,NA,0.572590159384022
"40","40","~Elevation^2 ~ Biotic ~ 1 ~ Biotic",-4.97607769142056,4.78392538580087,-4.5542412345594,2.84680145502579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29682106250341,0.609065325680126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179556777832028,0.284648192982822,-1.72036563860599,0.240285223015369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081406048991351,0.519625146640003,0.112161413073345,0.535556662151687,0,725.4610665092,125.531592670142,7,60,265.063185340284,1.97618306072229,0.0313150819656416,NA,0.603905241349664
"26","26","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",-4.09189687989603,4.3108633847093,-4.16753335728657,2.38086452163831,NA,NA,NA,NA,NA,NA,0.0546127887098944,1.14551820000101,NA,NA,-1.23661666427011,0.609001970389018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175590931067801,0.278878067712876,-1.70873965801964,0.244958203036959,NA,NA,NA,NA,NA,NA,NA,NA,0.364891553959639,0.322252565276819,NA,NA,0.221974680896365,0.548762439258863,0,546.84783508528,124.804478976599,8,60,265.608957953199,2.52195567363657,0.0238363929179672,NA,0.627741634267631
"51","51","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",-4.09189687989603,4.3108633847093,-4.16753335728657,2.38086452163831,NA,NA,NA,NA,NA,NA,0.0546127887098944,1.14551820000101,NA,NA,-1.23661666427011,0.609001970389018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175590931067801,0.278878067712876,-1.70873965801964,0.244958203036959,NA,NA,NA,NA,NA,NA,NA,NA,0.364891553959639,0.322252565276819,NA,NA,0.221974680896365,0.548762439258863,0,546.84783508528,124.804478976599,8,60,265.608957953199,2.52195567363657,0.0238363929179672,NA,0.651578027185598
"17","17","~Elevation ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",-2.54482189505463,3.99264166431795,-3.55507149551505,5.6079325547901,NA,NA,-1.6134255131916,3.89295734180089,NA,NA,NA,NA,NA,NA,-0.878074591207808,1.08186121026241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136976200253542,0.33282403019073,-1.51421039959487,0.303010630038066,NA,NA,0.699720527508235,0.396602751860663,NA,NA,NA,NA,NA,NA,0.355264158708616,0.638751324699603,0.572205623983695,0.842189433720352,0,1656.75174630501,123.854352379612,9,60,265.708704759224,2.62170247966219,0.0226767489439162,NA,0.674254776129514
"43","43","~Elevation^2 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",-2.54482189505463,3.99264166431795,-3.55507149551505,5.6079325547901,NA,NA,-1.6134255131916,3.89295734180089,NA,NA,NA,NA,NA,NA,-0.878074591207808,1.08186121026241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136976200253542,0.33282403019073,-1.51421039959487,0.303010630038066,NA,NA,0.699720527508235,0.396602751860663,NA,NA,NA,NA,NA,NA,0.355264158708616,0.638751324699603,0.572205623983695,0.842189433720352,0,1656.75174630501,123.854352379612,9,60,265.708704759224,2.62170247966219,0.0226767489439162,NA,0.696931525073431
"10","10","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-1.68958451648947,1.06595760977895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.616661170743481,1.18516849025708,NA,NA,NA,NA,NA,NA,NA,NA,-1.42558087286446,1.50264498425594,NA,NA,-1.65730118335724,0.307377887228216,NA,NA,NA,NA,NA,NA,NA,NA,0.48397136295224,0.371993381840251,NA,NA,0.564046134290904,0.737338059901024,0,62.0034822620777,127.055715069799,6,60,266.111430139597,3.02442786003485,0.0185408690575827,NA,0.715472394131013
"37","37","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,-1.68958451648947,1.06595760977895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.616661170743481,1.18516849025708,NA,NA,NA,NA,NA,NA,NA,NA,-1.42558087286446,1.50264498425594,NA,NA,-1.65730118335724,0.307377887228216,NA,NA,NA,NA,NA,NA,NA,NA,0.48397136295224,0.371993381840251,NA,NA,0.564046134290904,0.737338059901024,0,62.0034822620777,127.055715069799,6,60,266.111430139597,3.02442786003485,0.0185408690575827,NA,0.734013263188596
"3","3","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,-1.98335444402399,1.24607414363323,NA,NA,0.260038217819065,1.71691402065255,NA,NA,NA,NA,NA,NA,-0.407028220954817,0.877149145960662,NA,NA,0.363090277273403,1.68457849454158,NA,NA,NA,NA,NA,NA,NA,NA,-1.50619414293312,0.307263054036808,NA,NA,0.743370080860222,0.357513795622785,NA,NA,NA,NA,NA,NA,NA,NA,1.00473034461566,0.969994178538994,0,174.188927615613,126.176791749371,7,60,266.353583498742,3.2665812191803,0.0164265799939544,NA,0.75043984318255
"30","30","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,-1.98335444402399,1.24607414363323,NA,NA,0.260038217819065,1.71691402065255,NA,NA,NA,NA,NA,NA,-0.407028220954817,0.877149145960662,NA,NA,0.363090277273403,1.68457849454158,NA,NA,NA,NA,NA,NA,NA,NA,-1.50619414293312,0.307263054036808,NA,NA,0.743370080860222,0.357513795622785,NA,NA,NA,NA,NA,NA,NA,NA,1.00473034461566,0.969994178538994,0,174.188927615613,126.176791749371,7,60,266.353583498742,3.2665812191803,0.0164265799939544,NA,0.766866423176505
"8","8","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,-1.83481968979528,0.933600733447181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.304687274938563,0.75691255999462,NA,NA,0.1400285446007,1.01015727221356,NA,NA,NA,NA,NA,NA,NA,NA,-1.49045973574155,0.296601925296159,NA,NA,0.749100641815299,0.365224309448899,NA,NA,NA,NA,NA,NA,0.0456546021895414,0.921462079862161,1.01788214886539,0.999240539516895,0,46.4970413395903,126.187515739924,7,60,266.375031479849,3.2880292002867,0.0162513626988073,NA,0.783117785875312
"35","35","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-1.83481968979528,0.933600733447181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.304687274938563,0.75691255999462,NA,NA,0.1400285446007,1.01015727221356,NA,NA,NA,NA,NA,NA,NA,NA,-1.49045973574155,0.296601925296159,NA,NA,0.749100641815299,0.365224309448899,NA,NA,NA,NA,NA,NA,0.0456546021895414,0.921462079862161,1.01788214886539,0.999240539516895,0,46.4970413395903,126.187515739924,7,60,266.375031479849,3.2880292002867,0.0162513626988073,NA,0.799369148574119
"7","7","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,-1.74894846599461,0.978069335472002,NA,NA,-0.113343064168819,1.00246100555968,NA,NA,NA,NA,NA,NA,-0.241992300109045,0.830915665345347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48260686205012,0.304375832803646,NA,NA,0.754541715441606,0.367795407662947,NA,NA,NA,NA,NA,NA,0.143431407235855,0.875130256515001,1.02052202424971,1.03285144051709,0,54.9409718013603,126.190391636303,7,60,266.380783272605,3.29378099304307,0.0162046926050245,NA,0.815573841179144
"34","34","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-1.74894846599461,0.978069335472002,NA,NA,-0.113343064168819,1.00246100555968,NA,NA,NA,NA,NA,NA,-0.241992300109045,0.830915665345347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48260686205012,0.304375832803646,NA,NA,0.754541715441606,0.367795407662947,NA,NA,NA,NA,NA,NA,0.143431407235855,0.875130256515001,1.02052202424971,1.03285144051709,0,54.9409718013603,126.190391636303,7,60,266.380783272605,3.29378099304307,0.0162046926050245,NA,0.831778533784169
"22","22","~1 ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-2.15239160233688,0.89226808687891,NA,NA,NA,NA,NA,NA,NA,NA,0.89433320476109,0.593232739782349,-0.815083627845552,0.742212187504177,NA,NA,NA,NA,NA,NA,0.66311927256134,1.18040331527509,-1.85883277637682,1.41960013599402,0.582313064065078,0.330339642873064,-1.53100023220976,0.226643810885873,NA,NA,NA,NA,NA,NA,-1.93741541528485,0.755499513058569,1.56025942864033,0.539215153922553,NA,NA,0.691366956507519,0.603268225741408,0,69.8435292582687,123.288045112996,10,60,266.576090225991,3.48908794642887,0.0146970587771291,NA,0.846475592561298
"47","47","~1 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-2.15239160233688,0.89226808687891,NA,NA,NA,NA,NA,NA,NA,NA,0.89433320476109,0.593232739782349,-0.815083627845552,0.742212187504177,NA,NA,NA,NA,NA,NA,0.66311927256134,1.18040331527509,-1.85883277637682,1.41960013599402,0.582313064065078,0.330339642873064,-1.53100023220976,0.226643810885873,NA,NA,NA,NA,NA,NA,-1.93741541528485,0.755499513058569,1.56025942864033,0.539215153922553,NA,NA,0.691366956507519,0.603268225741408,0,69.8435292582687,123.288045112996,10,60,266.576090225991,3.48908794642887,0.0146970587771291,NA,0.861172651338427
"15","15","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-1.00564197404488,1.1137055814761,NA,NA,NA,NA,NA,NA,NA,NA,0.263224628034229,1.08848873150651,0.176628683077298,1.67102181239619,NA,NA,NA,NA,0.823282658559359,0.978072783007613,NA,NA,NA,NA,-0.0953003276456866,0.41733933340205,-1.92570696965071,0.436447484504361,NA,NA,NA,NA,-0.494599964164087,0.263450429565104,NA,NA,NA,NA,NA,NA,0.428754723922219,0.700941449356233,0,192.13357118066,125.557251530419,8,60,267.114503060837,4.02750078127508,0.0112283403780959,NA,0.872400991716523
"41","41","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-1.00564197404488,1.1137055814761,NA,NA,NA,NA,NA,NA,NA,NA,0.263224628034229,1.08848873150651,0.176628683077298,1.67102181239619,NA,NA,NA,NA,0.823282658559359,0.978072783007613,NA,NA,NA,NA,-0.0953003276456866,0.41733933340205,-1.92570696965071,0.436447484504361,NA,NA,NA,NA,-0.494599964164087,0.263450429565104,NA,NA,NA,NA,NA,NA,0.428754723922219,0.700941449356233,0,192.13357118066,125.557251530419,8,60,267.114503060837,4.02750078127508,0.0112283403780959,NA,0.883629332094619
